City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
515879,oktyabrskiy,35,RU,1603140430,85,54.48,53.47,41.18,2.73
146639,lasa,20,CY,1603140430,73,34.92,32.53,71.6,5.82
6453316,tromso,0,NO,1603140430,92,69.65,18.96,24.8,6.93
3457113,miranda,85,BR,1603140430,68,-20.24,-56.38,82.94,3.42
1228730,ratnapura,47,LK,1603140430,86,6.68,80.4,75.04,2.3
1253237,veraval,71,IN,1603140430,80,20.9,70.37,82.35,7.43
1486340,yarovoye,98,RU,1603140431,64,52.93,78.58,39.6,14.18
2381334,atar,0,MR,1603140431,21,20.52,-13.05,89.15,8.95
1650232,banjar,40,ID,1603140431,100,-8.19,114.97,78.8,9.17
1632694,pangkalanbuun,99,ID,1603140431,97,-2.68,111.62,74.88,1.92
3382160,cayenne,42,GF,1603140431,66,4.93,-52.33,86.0,10.29
2079582,alyangula,70,AU,1603140431,100,-13.85,136.42,69.8,1.12
2255564,ouesso,100,CG,1603140492,79,1.61,16.05,73.0,1.48
3870243,taltal,22,CL,1603140486,62,-25.4,-70.48,63.64,7.16
3939761,hualmay,18,PE,1603140493,71,-11.1,-77.61,67.35,10.31
1485997,yeniseysk,100,RU,1603140493,93,58.45,92.17,29.61,6.89
3137469,sorland,52,NO,1603140493,79,67.67,12.69,28.4,6.93
1259385,port blair,25,IN,1603140493,84,11.67,92.75,80.87,13.56
1280037,shache,0,CN,1603140493,49,38.42,77.24,45.21,5.41
878141,madimba,0,TZ,1603140493,83,-10.4,40.33,73.4,4.85
2138555,poum,0,NC,1603140493,67,-20.23,164.02,74.05,7.25
80509,bardiyah,92,LY,1603140494,72,31.76,25.09,74.41,4.83
2191911,dargaville,97,NZ,1603140494,69,-35.93,173.88,63.09,10.13
286245,sur,7,OM,1603140494,32,22.57,59.53,81.07,9.82
2108502,honiara,40,SB,1603140304,94,-9.43,159.95,77.0,2.24
5055787,kirksville,90,US,1603140325,60,40.19,-92.58,39.99,13.87
2227402,meiganga,40,CM,1603140494,74,6.52,14.3,66.06,4.09
1624041,ternate,86,ID,1603140494,78,0.8,127.4,80.98,9.24
183595,ngong,75,KE,1603140494,88,-1.36,36.66,64.4,8.05
3403687,camocim,16,BR,1603140495,70,-2.9,-40.84,81.16,20.18
1215502,banda aceh,85,ID,1603140495,72,5.56,95.32,80.67,7.9
2016701,shimanovsk,88,RU,1603140495,91,52.0,127.7,30.69,10.02
5970478,harbour breton,98,CA,1603140495,100,47.48,-55.8,57.0,6.49
662759,varlezi,0,RO,1603140495,57,45.9,27.85,47.35,2.98
